supplier_id,canonical_id,canonical_name,parent_name,note
0000015235,0000015235,ACCENTURE LLP,Accenture plc (NYSE: ACN),curated: parent affiliation
0000068353,0000184047,ACUITY TECHNICAL SOLUTIONS LLC,,auto: same normalized name 'ACUITY TECHNICAL SOLUTIONS'
0000028096,0000000045,ALLIED NETWORK SOLUTIONS INC,,auto: same normalized name 'ALLIED NETWORK SOLUTIONS'
0000000084,0000005418,AMAZON COM INC,,auto: same normalized name 'AMAZON COM'
0000060420,0000047962,AMERICAN TIRE DEPOT,,auto: same normalized name 'AMERICAN TIRE DEPOT'
0000027861,0000070488,AMERICAN WAREHOUSE,,auto: same normalized name 'AMERICAN WAREHOUSE'
0000010527,0000003222,AT&T MOBILITY,,auto: same normalized name 'AT T MOBILITY'
0000064587,0000039554,BETA ALPHA PSI,,auto: same normalized name 'BETA ALPHA PSI'
0000004289,0000222088,BETA ALPHA PSI NATL COUNCIL,,auto: same normalized name 'BETA ALPHA PSI NATL COUNCIL'
0000123259,0000222088,BETA ALPHA PSI NATL COUNCIL,,auto: same normalized name 'BETA ALPHA PSI NATL COUNCIL'
0000211429,0000222088,BETA ALPHA PSI NATL COUNCIL,,auto: same normalized name 'BETA ALPHA PSI NATL COUNCIL'
DEPT678000,UNIV678000,CSU SACRAMENTO,,auto: same normalized name 'CSU SACRAMENTO'
0000000323,0000011481,DECISIONONE CORPORATION,,auto: same normalized name 'DECISIONONE'
0000028052,0000001250,DLT SOLUTIONS LLC,,auto: same normalized name 'DLT SOLUTIONS'
0000243782,0000025419,DVBE SUPPLIERS,,auto: same normalized name 'DVBE SUPPLIERS'
0000094127,0000179317,E & E NEWS,,auto: same normalized name 'E E NEWS'
0000117352,0000048945,FEDERAL ONE SUPPLIES,,auto: same normalized name 'FEDERAL ONE SUPPLIES'
0000093062,0000037923,GUERIN,,auto: same normalized name 'GUERIN'
0000190158,0000252887,HALL PROCUREMENT LLC,,auto: same normalized name 'HALL PROCUREMENT'
0000116814,0000170351,HOUSING AUTH OF THE CITY OF,,auto: same normalized name 'HOUSING AUTH OF CITY OF'
0000068017,0000068017,INTERVISION SYSTEMS LLC,NWN (acquired InterVision 2024),curated: parent affiliation
0000035719,0000198392,KARUK TRIBE,,auto: same normalized name 'KARUK TRIBE'
0000000540,0000177264,KOVARUS INC,,auto: same normalized name 'KOVARUS'
0000049640,0000053096,LEVERAGE,,auto: same normalized name 'LEVERAGE'
0000048887,0000064283,LUMINAUD INC,,auto: same normalized name 'LUMINAUD'
0000100618,0000100618,MAXIMUS HUMAN SERVICES INC,Maximus Inc. (NYSE: MMS),curated: parent affiliation
0000000702,0000000701,NEIGHBORHOOD HOUSING SVCS OF,,auto: same normalized name 'NEIGHBORHOOD HOUSING SVCS OF'
0000005917,0000112693,NEWSDATA LLC,,auto: same normalized name 'NEWSDATA'
0000123280,0000176663,NORTH RIDGE CONSULTING,,auto: same normalized name 'NORTH RIDGE CONSULTING'
0000043981,0000202305,NORTH TAHOE EVENT CENTER,,auto: same normalized name 'NORTH TAHOE EVENT CENTER'
0000049780,0000000685,NOTED TECHNOLOGY SOLUTIONS INC,,auto: same normalized name 'NOTED TECHNOLOGY SOLUTIONS'
0000013774,0000233720,POLITICO,,auto: same normalized name 'POLITICO'
0000180711,0000233720,POLITICO,,auto: same normalized name 'POLITICO'
0000039821,0000005235,REGENTS OF THE UNIV OF CA,,auto: same normalized name 'REGENTS OF UNIV OF CA'
0000242331,0000005235,REGENTS OF THE UNIV OF CA,,auto: same normalized name 'REGENTS OF UNIV OF CA'
0000044313,0000000119,RUSSOS BOOKS,,auto: same normalized name 'RUSSOS BOOKS'
0000018260,0000241301,SACJOBS,,auto: same normalized name 'SACJOBS'
0000001527,0000028037,SADDLE POINT SYSTEMS,,auto: same normalized name 'SADDLE POINT SYSTEMS'
0000227709,0000028037,SADDLE POINT SYSTEMS,,auto: same normalized name 'SADDLE POINT SYSTEMS'
0000142746,0000215030,SAN JOSE MERCURY NEWS,,auto: same normalized name 'SAN JOSE MERCURY NEWS'
DEPT868000,0000186002,STATE BAR OF CALIFORNIA,,auto: same normalized name 'STATE BAR OF CALIFORNIA'
0000092665,0000167180,SURF DEVELOPMENT COMPANY,,auto: same normalized name 'SURF DEVELOPMENT'
0000000078,0000000063,SURVEYMONKEY COM,,auto: same normalized name 'SURVEYMONKEY COM'
0000000620,0000005122,T-MOBILE USA INC,,auto: same normalized name 'T MOBILE USA'
0000004483,0000007287,TABORDA SOLUTIONS INC,,auto: same normalized name 'TABORDA SOLUTIONS'
0000234921,0000223423,TANGO ANALYTICS LLC,,auto: same normalized name 'TANGO ANALYTICS'
0000006000,0000187646,THE SACRAMENTO BEE,,auto: same normalized name 'SACRAMENTO BEE'
0000247386,0000006002,THE SAN DIEGO UNION TRIBUNE LLC,,auto: same normalized name 'SAN DIEGO UNION TRIBUNE'
0000000805,0000002724,VERITEXT CORP,,auto: same normalized name 'VERITEXT'
0000055551,0000004429,VICTORY AUTO SERVICE INC,,auto: same normalized name 'VICTORY AUTO SERVICE'
0000259063,0000084708,WARBIRD SOLUTIONS LLC,,auto: same normalized name 'WARBIRD SOLUTIONS'
0000193990,0000041627,ZONES LLC,,auto: same normalized name 'ZONES'
